,sentence_1,sentence_1_bert
1551,꺄아! 저 진짜 눈치도 없이 냅따 따라 붙을거에요!! ㅋㅋ,꺄아! 저 진짜 눈치도 없이 그냥 냅따 따라 붙을거에요!! ㅋㅋ
1554,국민연금 폐지 : 원금 + 시중금리로 하루속히 돌려주시길,국민연금 제도 폐지 : 원금 + 시중금리로 하루속히 돌려주시길
1562,저도 어제바꿨는데 바꾸면서 유효기간보고 깜놀..ㅋㅋ,저도. 어제바꿨는데 바꾸면서 유효기간보고 깜놀.. ㅋㅋ
1567,이거 사용기간 3월 12일까진데 혹시 아직 안바꾸신분 계실까봐,이거 사용기간 3월부터 12일까진데 혹시 아직 안바꾸신분 계실까봐
1580,힌국 건축에 대한 의식 개선에 대한 영화가 더 많아졌으면 좋겠습니다.,힌국 건축에 대한 시민 의식 개선에 대한 영화가 좀 더 많아졌으면 좋겠습니다.
1591,일단 제가 아는 멤버들 중에는 없는것 같습니다.,일단 제가 아는 다른 멤버들 중에는 없는것 같습니다.
1593,첨부터 못봤는데 걍 계속 보게되던데요~,첨부터는 못봤는데 걍 계속 보게되던데요 ~
1598,고민을 함께 나눠주시며 줌바를 추천해주셨습니다!,"고민을 함께 나눠주시며, 줌바를 추천해주셨습니다!"
1600,작가가 이런 대를 보내면서 자랐나봄...,작가가 늘 이런 대를 보내면서 자랐나봄...
1601,"그냥 큰 음쓰통을 살까도 생각했는데, 냄새가 너무 나겠더라구요","그냥 큰 음쓰통을 살까도 하고 생각했는데, 냄새가 너무 나겠더라구요"
1606,아 이거 그냥 당기니 열었습니다!,아 이거 그냥 딱 당기니 열었습니다!
1616,의혹 투성이 대연비치 재건축 과정 수사 청원합니다!,의혹만 투성이 대연비치 재건축 과정 수사 청원합니다!
1622,지역인재 충남지역 대학 역차별,충남 지역인재 충남지역 대학 역차별
1624,아직도 신현준의 황장군 연기는 음...,아직도 신현준의 황장군의 연기는 음...
1626,어제 The Verge에서 소개한 핸폰보고 약간 신기했었는데() 위의 링크된 글을 보니 소프트웨어도 같이 직접 만들었다고 하네요.,어제는 The Verge에서 직접 소개한 핸폰보고 약간 신기했었는데 ( ) 위의 링크된 글을 보니 소프트웨어도 같이 직접 만들었다고 하네요.
1629,도대체 지정헌혈이 무엇인지요? 이래서 헌혈을 할까요?,도대체 지정헌혈이 무엇인지요? 이래서 헌혈을 해야 할까요?
1642,수능연기를 하되 수능고사장으로 지정된 학교는 일주일 휴교령을 내려주시기 바랍니다.,수능연기를 하되 수능고사장으로 지정된 학교는 일주일 휴교령을 내려주시기를 바랍니다.
1659,왜 히치콕이 명감독인지 알게되었어요,그리고 왜 히치콕이 명감독인지 알게되었어요
1662,이거 좀 본까지 입을수 있는 얇은 버전으로 100개 더 고고.,이거는 좀 본까지 다 입을수 있는 얇은 버전으로 100개 더 고고.
1667,두 사람이 연기 호흡이 괜찮았다,두 배우 사람이 연기 호흡이 괜찮았다
1669,오잉 제가 하면 좋은데 내용을 몰라서,오잉 제가 하면 더 좋은데 내용을 몰라서
1671,"스터디 Menu/ 나누고 싶은 정보가 있다면, Others에 링크 추가해 두었습니다.","스터디 Menu / 나누고 싶은 정보가 있다면, 다음 Others에 추가 링크 추가해 두었습니다."
1675,앗 그리고 쿠팡 기사님도 잔뜩 뭔가 놓고 가셔서 옮겨둘게요,앗 그리고 쿠팡의 기사님도 잔뜩 뭔가 놓고 가셔서 옮겨둘게요
1676,오늘밤 다들 악몸꾸실꺼에요 ㅋㅋㅋ,오늘밤 다들 악몸꾸실꺼에요. ㅋㅋㅋ
1684,불합리한 공매도 개선 해주세요,제발 불합리한 공매도 개선 해주세요
1692,저만 술에 취한 줄 알았는데...나만 아니었군요.,저만은 술에 취한 줄 알았는데... 나만 아니었군요.
1698,문재인 대통령님 임기 다 안 채우셔도 됩니다,문재인 대통령님 임기를 다 안 채우셔도 됩니다
1704,자동차 사고 났을 때 '자기 부담금' 너무 크다.,그런데 자동차 사고 났을 때'자기 부담금'너무 크다.
1705,무엇을 상상하건 그 이하를 보게 될 것입니다.,무엇을 상상하건 그 이상 이하를 보게 될 것입니다.
1710,"“어떻게 하면 더 잘 할수 있을까?,","“ 어떻게 하면 좀 더 잘 할수 있을까?,"
1714,정부는 웹하드 카르텔과 로비 방관 의혹을 수사하라,정부는 웹하드 카르텔과 로비 방관 의혹을 철저히 수사하라
1722,저는 이동을 하면서 일을 하는편인데요.,저는 이동을 하면서 다른 일을 하는편인데요.
1724,오 뭔가 에너지가 느껴집니다 ㅎㅎ 환영합니다~!,오 뭔가 새로운 에너지가 느껴집니다 ㅎㅎ 환영합니다 ~!
1727,"새해를 맞이하여, 그동안 오랜동안 인턴으로 멋있게 활약해주신 <PERSON> 님께서 정규직으로 전환이 되셨습니다.","새해를 맞이하여, 그동안 오랜동안 인턴으로 멋있게 잘 활약해주신 < PERSON > 님 님께서 정규직으로 전환이 되셨습니다."
1736,로맨틱보단 코믹이 더 강하고 시간 잘간다.. 화장실유머도 웃기고,로맨틱보단 코믹이 더 강하고 시간 잘간다.. 화장실유머도 더 웃기고
1742,윗집이 저희집을 너무 힘들게해요,윗집이 너무 저희집을 너무 힘들게해요
1746,아 스스로 반성하게 되는군요..,아 ~ 스스로 반성하게 되는군요..
1747,종이통장 유로로 바꾸지말고 폐지시키지 말아줘요,종이통장 유로로 절대 바꾸지말고 폐지시키지 말아줘요
1753,택배사의 횡포 정말 정신나간 택배직원이 있네요.,택배사의 이런 횡포 정말 정신나간 택배직원이 있네요.
1769,연기력도 좋은것 같음 ^-^,그리고 연기력도 좋은것 같음 ^ - ^
1773,왜 아직껏 속편이 안나올까나..,. 왜 아직껏 속편이 안나올까나..
1775,브랜딩 디자인은 개발 직군과는 너무나도 다른 분야이기에 정말 쉴틈 없이 브랜딩 작업에 대해서 궁금했던 점을 많이 물어본 것 같습니다. ㅎㅎ,브랜딩과 달리 디자인은 개발 직군과는 너무나도 다른 분야이기에 정말 쉴틈 없이 이 브랜딩 작업에 대해서 궁금했던 점을 많이 물어본 것 같습니다. ㅎㅎ
1788,한국인 차별 외국계특혜정책 폐지하세요,한국인 차별 외국계특혜정책을 폐지하세요
1796,코로나 격리로 미뤄졌던 기자님들과의 약속으로 매우 바쁘신 상황이시라고 합니다..!,코로나 격리로 미뤄졌던 기자님들과의 약속으로 매우 바쁘신 상황이시라고 생각 합니다..!
1800,지브리 좋아하는 사람은 안깔아보곤 못 버틸 것 같은 게임!,지브리 좋아하는 사람은 안깔아보곤 못 버틸 것 같은 이 게임!
1802,수시로 집 나가는 엄마 붙잡아 주세요,수시로 아빠 집 나가는 엄마 붙잡아 주세요
1851,소시오패스를 연기하는 자체가 모순,- 소시오패스를 연기하는 자체가 모순
1855,슈프림 브랜드 짝퉁이 국내로 들어오지 못하게 해주세요,슈프림 브랜드 짝퉁이 국내로는 들어오지 못하게 해주세요
1860,이건 그냥 뽈노 아닌가..;;;; 그래서 점 드립니다,근데 이건 그냥 뽈노 아닌가.. ; ; ; ; 그래서 점 드립니다
1869,헉 바로 다리 풀기…,헉! 바로 다리 풀기 …
1877,"ㅎㅎㅎ 이거 30분 열심히 하시면 1천보, 조금 빨리가면 20분 천, 한시간 3천 정도 됩니다.","ㅎㅎㅎ 그리고 이거 30분 열심히 하시면 1천보, 조금 빨리가면 약 20분 천, 한시간 3천 정도 됩니다."
1882,정부의 힘으로 반토막도 더 내는군요,그런데 정부의 힘으로 반토막도 더 내는군요
1888,오늘의 저녁은 흑돼지와 함께합니다 !,오늘의 아침 저녁은 흑돼지와 함께합니다!
1897,패션에는 전혀 일가견이 없습니다….,패션에는 전혀 일가견이 전혀 없습니다 ….
1909,받을 수 있냐고 요청이 왔습니다.,안 받을 수 있냐고 요청이 왔습니다.
1914,교통범칙금 과태료로 공무원 월급주는건 아니라고 생각합니다!!!,교통범칙금 과태료로 공무원 월급주는건 절대 아니라고 생각합니다!!!
1921,길들여 진다는 것이 이렇게 무서울 수 있다니..하지만 불쾌한 감정들..,길들여 진다는 것이. 이렇게 무서울 수 있다니.. 하지만 불쾌한 감정들..
1925,역시 돈버는 사람과 못버는 사람은 같은 걸 보고도 다른 생각을 하게되나봅니다 ㅎㅎㅎ,"역시 돈버는 사람과 못버는 사람은 같은 걸 보고도 다른, 그런 생각을 하게되나봅니다 ㅎㅎㅎ"
1932,보통 그 대형모니터쪽에 있었죠..?,? 보통 그 대형모니터쪽에 있었죠..?
1933,그럼 전 블랙핑크 갑니다.,자 그럼 전 블랙핑크 갑니다.
1938,개인정보 와 상권 보호 때문일까요…?,개인정보 와 상권의 보호 때문일까요 …?
1942,지금 추세는 약간 떨어진다고는 합니다만 여전히 너무 비싸죠..,지금 추세는 약간 떨어진다고는 합니다만 그래도 여전히 너무 비싸죠..
1943,"넵, 보안을 위해 EXPORT는 막아두었습니다~!","넵, 보안을 풀기 위해 EXPORT는 막아두었습니다 ~!"
1964,이주아동 권리보장 기본법안 ㅡ 한번더 검토부탁드립니다.,이주아동의 권리보장 기본법안 ㅡ 한번더 검토부탁드립니다.
1965,얼굴이 낯익다 했는데 모세 였군요,얼굴이 낯익다 고 했는데 모세 였군요
1979,유명한 영화라 평을 남기기가 머시기하네요..,유명한 다큐멘터리 영화라 평을 남기기가 머시기하네요..
1981,로렌스 왜그랬어ㅠ 연기력 아깝다,로렌스 왜그랬어ㅠ 내 연기력 아깝다
1989,아마 저랑 같은 10초대일듯.,아마 저랑 같은게 10초대일듯.
1994,임권택 감독이 가장 후회하는 영화가 아닐까?,임권택 전 감독이 가장 후회하는 영화가 아닐까?
2004,조작한거같다고 의심사지않게 그냥 공개해요,조작한거같다고 의심사지않게하면 그냥 공개해요
2012,서프라이즈 보는 것 같았음,서프라이즈 보는 것도 같았음
2034,빌라에 사는데 다달이 관리비로 10만원씩 내고 있습니다,"빌라에 사는데, 다달이 관리비로 10만원씩 내고 있습니다"
2039,과잉되었으며 잘못 선택된 음악.,그러나 과잉되었으며 잘못 선택된 음악.
2076,혹시 이중에 마음에 드는 디자인이 있으신 분은,그런데 혹시 이중에 마음에 드는 디자인이 있으신 분은
2079,기업들 해외로 다 나갈려고 한다(18년차 근무자가 쓴글),기업들 해외로 다들 나갈려고 한다 ( 18년차 근무자가 쓴글 )
2083,"구적폐와 신적폐, 다 배척하여야할 대상, 보통 국민을 표준으로 하여주십시오","구적폐와, 신적폐, 다 배척하여야할 대상, 보통 국민을 표준으로 하여주십시오"
2085,데미 무어의 파격적 변신.,디자이너 데미 무어의 파격적 변신.
2086,요즘 로우라이즈 재유행이라고 하니 1번 누르고 싶지만.. 단정하게 4번 누르고갑니다ㅎㅎ,요즘 로우라이즈 재유행이라고도 하니 1번 누르고 싶지만.. 단정하게. 4번 누르고갑니다ㅎㅎ
2097,기대를 저버리지 않아~~~~~ ㅎㄷㄷ,기대를 저버리지는 않아 ~ ~ ~ ~ ~ ㅎㄷㄷ
2105,가드닝 채널에 일단 초대를 드렸습니다 ㅋㅋㅋ,가드닝 채널 채널에 일단 초대를 드렸습니다 ㅋㅋㅋ
2107,넵 초대드렸습니다! (오전 중에 한다는게...),넵 초대드렸습니다!! ( 오전 중에 한다는게... )
2127,다영이 엄마가 죽을때 대마왕 심장을 왜알려줘.,그리고 다영이 엄마가 죽을때 대마왕 심장을 왜알려줘.
2148,즉 한국 시장으로 치면 만관객이란 말.,"즉, 한국 시장으로 치면 만관객이란 말."
2155,마지막으로 이태원클라쓰에 나온 단밤포차까지!,마지막으로 이태원클라쓰에서 나온 단밤포차까지!
2162,아 재밌는데 작은누나 짜증나,아 재밌는데 갑자기 작은누나 짜증나
2170,한정판 같은 거라 보심,한정판매 같은 거라 보심
2172,우리집도 가난해서 백도 없고 좌절도 많았지만 난 부모님을 원망한 적은 한번도 없었다.,우리집도 가난해서 백도 없고 좌절도 많았지만 난 그런 이유로 부모님을 원망한 적은 한번도 없었다.
2187,원도 아까와 디질것 같아요 ㅠㅠ,원도 아까와 같이 디질것 같아요 ㅠㅠ
2192,근데 1천원이면 일단 사고 보셔야? ㅋㅋ,근데 1천원이면 일단 사고나 보셔야? ㅋㅋ
2201,회사 근처 사시는 분들 날 좋을 때 꼭 가세요,회사 근처 사시는 분들 날 좋을 때 꼭 놀러 가세요
2205,"문재인 대통령의 국립중앙박물관 사진을 보고, 경천사지 석탑의 전시개선","고 문재인 대통령의 국립중앙박물관 사진을 보고, 경천사지 석탑의 전시개선"
2206,편집됬다는게 흑.. 빂츠갔더니 편집된게 있는!! 뙇!!,편집됬다는게 흑.. 편집된게 있는!!! 뙇!!
2211,오... 좋아요 구독 눌렀습니다!,오... 좋아요! 구독 눌렀습니다!
2212,상당히 정확해서 깜짝 놀랐어요.,이게 상당히 정확해서 깜짝 놀랐어요.
2213,년대에 투구하는 공이 클로즈업이 되는 당시 중계기술..,년대에는 투구하는 공이 클로즈업이 되는 당시 중계기술..
2231,대한항공오너 유한주식회사세모오너 청해진해운오너 소쿠리상사오너들의공익사업근거로하여무죄기각구속장부미제무효신청합니다,"대한항공오너 유한주식회사세모오너, 청해진해운오너 소쿠리상사오너들의공익사업근거로하여무죄기각구속장부미제무효신청합니다"
2237,대국민 인재 양성법을 제안합니다.,또한 대국민 인재 양성법을 제안합니다.
2240,곧 사라질(태권도)를 국기로 제정하라!,이제 곧 사라질 ( 태권도 ) 를 국기로 제정하라!
2245,일부러 해석을 안해준거 같기도...,일부러 그런 해석을 안해준거 같기도...
2248,이영화도..근데 아흔에도 저게 안잊혀진단 말이죠....,이영화도.. 근데 아흔에도. 저게 안잊혀진단 말이죠....
2255,일단은 테라스 활용하시면 됩니다~!,일단은 테라스를 활용하시면 됩니다 ~!
2258,일자리 막는 과감한 규제 혁신'은 중단해야 한다.,일자리 막는 과감한 규제'혁신'은 중단해야 한다.
2274,와 떡돌린 때가 한 3년 전인거 같은데 겨우 1년 전이라니,와 떡돌린 때가 벌써 한 ~ 3년 전인거 같은데 겨우 1년 전이라니
2281,제일 가까운 한분께 선물 드립니다. ㅋㅋ,제일 제일 가까운 한분께 선물 드립니다. ㅋㅋ
2283,그나저나 꽃대오르면 생명을 다 하거나 그런거 아닌지 좀 찾아봐야겠어요!,그나저나 꽃대오르면 생명을 다해야 하거나 그런거 아닌지 좀 찾아봐야겠어요!
